Key,Name,Organization ID,Tags,Ideas
google/gsoc2013/n52,52°North Initiative for Geospatial Open Source Software GmbH,n52,"geo, geospatial, java, gis, spatiotemporal, R, R-project, earth observation, geoprocessing, spatial data, geostatistics, sensor web, search, mobile, eventing, performance, database",https://wiki.52north.org/bin/view/Projects/GSoC2013ProjectIdeas
google/gsoc2013/abiword,abiword,abiword,word processor,http://www.abisource.com/wiki/Google_Summer_of_Code_2013
google/gsoc2013/aerospaceresearchnet,AerospaceResearch.Net,aerospaceresearchnet,"space, distributed computing, aerospace, research, high performance computing, boinc",http://aerospaceresearch.net/constellation/forum_thread.php?id=217
google/gsoc2013/ankur_india,Ankur India,ankur_india,"Bengali, Python, Javascript, a11y, Text-to-Speech, OCR, i18n, Language Computing, keyboard layout, desktop testing, translation, translation editor, terminology tools",https://github.com/ankur-india/ankur-india/wiki/Project-Ideas
google/gsoc2013/apache,Apache Software Foundation,apache,"c, java, python, c++, perl, opensource, apache, erlang",http://s.apache.org/gsoc2013ideas
google/gsoc2013/apertium,Apertium,apertium,,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code
google/gsoc2013/wesnoth,Battle for Wesnoth,wesnoth,"ai_development, ai, lua, multiplayer, game_development, c++, game_engine, game, games, graphics, artificial_intelligence, server, scripting, extensibility",http://wiki.wesnoth.org/SummerOfCodeIdeas
google/gsoc2013/beagle,BeagleBoard.org,beagle,"physical computing, node.js, linux, embedded, arm, javascript, python, rtos, kernel, android, hardware",http://elinux.org/BeagleBoard/GSoC/Ideas
google/gsoc2013/beamcommunity,BEAM Community,beamcommunity,"erlang, elixir, erlang vm, actors, ejabberd, disco, zotonic, tsung, xmpp, benchmark, distributed computing, package manager",https://github.com/beamcommunity/beamcommunity.github.com/wiki
google/gsoc2013/benetech,Benetech,benetech,"literacy, accessibility, human rights, android, java",https://github.com/benetech/FBReaderJ/wiki/Google-Summer-of-Code-2013-Ideas-Page
google/gsoc2013/bioconductor,Bioconductor open source software for bioinformatics,bioconductor,"R, statistics, computational biology, high throughput sequencing, genomics",http://www.bioconductor.org/developers/gsoc2013/
google/gsoc2013/blender,Blender Foundation,blender,"3D, computer graphics, modeling, animation, rendering, compositing, game creation, video editing, artist tools, simulation, visualization, C, C++, Python, OpenGL, OpenCL, Cuda",http://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2013/Ideas
google/gsoc2013/bloomington,"Bloomington, IN, USA",bloomington,"android, ios, php, mysql, java, javascript, objective c, open311, open source, community source, government, gov2.0",http://bloomington.in.gov/documents/viewDocument.php?document_id=7522
google/gsoc2013/boost,Boost C++ Libraries,boost,"c++, libraries, boost",https://svn.boost.org/trac/boost/wiki/SoC2013
google/gsoc2013/brlcad,BRL-CAD,brlcad,"computer graphics, scientific computing, engineering analysis, visualization, CAD, CSG, SMP, signal processing, 3d, engine, 3d modeling, benchmark, raytracing, image processing, graphics, framebuffer, geometry conversion, computer vision, computer-aided design, symmetric multiprocessing, geometry, brlcad, ray tracing, constructive solid geometry, analysis, graphics conversion, mesh, solid modeling, web development, high-perforamnce computing, math, science, tcl, c, c++",http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas
google/gsoc2013/buildbot,Buildbot,buildbot,,http://trac.buildbot.net/wiki/ProjectIdeas
google/gsoc2013/buildroot,Buildroot,buildroot,buildroot embedded-linux,http://elinux.org/Buildroot:GSoC2013Ideas
google/gsoc2013/catroid_project,Catroid Project,catroid_project,"scratch, testdriven, children, web, educational, web_interface, java, agile, selenium, pedagogical, html, music, robotium, android, web_development, web2.0, javascript, js, html5, php, animation, kids, programming, ide, unittests, usability",http://goo.gl/z3stf
google/gsoc2013/cernsft,CERN SFT,cernsft,,http://sftweb.cern.ch/gsoc13
google/gsoc2013/cesium,Cesium community,cesium,"HTML5, JavaScript, git, WebGL, Android, graphics, data structures and algorithms, geospatial",https://github.com/AnalyticalGraphicsInc/cesium/wiki/Google-Summer-of-Code-Ideas
google/gsoc2013/chromium,Chromium,chromium,,https://sites.google.com/a/chromium.org/dev/getting-involved/summerofcode2013
google/gsoc2013/clojure_dev,Clojure,clojure_dev,"lisp, clojure, programming languages, functional programming, logic programming",http://dev.clojure.org/display/community/Project+Ideas
google/gsoc2013/codeforamerica,Code for America,codeforamerica,"government, civic, cities, non-profit, django, python, ruby, rails, javascript, node",http://codeforamerica.org/gsoc2013/
google/gsoc2013/cse_tuwien,Computational Science and Engineering at TU Wien,cse_tuwien,"science, research, engineering, GPU computing, visualization, meshing, networking, ViennaCL, OpenEngSB, nomacs, Calimero, Eclipse, GDAL, OGR, IoTSyS, MOST, OpenPixi, Skeptik, ViennaMesh, ViennaMOS, VIM",http://www.iue.tuwien.ac.at/cse/index.php/gsoc/2013.html
google/gsoc2013/coreboot,coreboot,coreboot,"firmware, lowlevel, x86, arm, assembly, c, drivers, hardware, embedded, bios, uefi",http://www.coreboot.org/Project_Ideas
google/gsoc2013/cc,Creative Commons,cc,,http://wiki.creativecommons.org/Summer_of_Code_2013
google/gsoc2013/scripps_crowdbio,Crowdsourcing Biology at the Scripps Research Institute,scripps_crowdbio,"crowdsourcing, biology, bioinformatics, wiki, games, gwaps, web, HTML5, D3, javascript, python, django, social graph, wikipedia, wikidata, canvas",http://sulab.org/gsoc/#ideas
google/gsoc2013/cryptostick,Crypto Stick,cryptostick,"encryption, cryptography, hardware, embedded, security, authentication",https://www.assembla.com/spaces/cryptostick/wiki/Ideas
google/gsoc2013/crystalspace,Crystal Space,crystalspace,"3d engine, game engine, c++, opengl, bullet, game logic, cross platform, python, animation, landscape, particles, rendering, simulation, 3d, opengles",http://www.crystalspace3d.org/trac/CS/wiki/SoC%20Ideas
google/gsoc2013/dbpediaspotlight,DBpedia & DBpedia Spotlight,dbpediaspotlight,"semantic web, entity linking, linked data, knowledge extraction, Wikipedia, Wikidata, machine learning, java, scala, disambiguation, term recognition, nlp",http://wiki.dbpedia.org/gsoc2013/ideas
google/gsoc2013/debian,Debian Project,debian,"virtualization, os, linux, distributions, web, compilers, init_system, qa, quality_assurance, perl, shell_scripting, web_development, python, bsd, php, distribution, bash, c, operating_system, database, science, debian, c++, sh, security, android, java, clojure, openrc",https://wiki.debian.org/SummerOfCode2013/Projects
google/gsoc2013/bmi_cci,"Dept. of Biomedical Informatics, Emory University",bmi_cci,"biomedical, healthcare, clinical, informatics, dicom, cloud, nosql, hdf5, big data, data mining, web services, map reduce, ysmart, hadoop, javascript, java, databases",http://confluence.cci.emory.edu:8090/display/GSOC/Ideas+2013
google/gsoc2013/dune,Distributed and Unified Numerics Environment (DUNE),dune,"C++, CSE, Computational Science and Engineering, Simulation, PDE, FEM, Mathematics, Physics",http://www.dune-project.org/gsoc/2013/index.html
google/gsoc2013/django,Django Software Foundation,django,,https://code.djangoproject.com/wiki/SummerOfCode2013
google/gsoc2013/dragonflybsd,DragonFly BSD,dragonflybsd,"dragonflybsd, bsd, virtualization, os, operating system, operating_system, operating-system, distributions, web, compilers, distribution, c, sh, security, gcc, dports, pkgsrc, packaging, unix",http://www.dragonflybsd.org/docs/developer/gsocprojectspage/
google/gsoc2013/drizzle,Drizzle Database,drizzle,"database, mysql, c++",http://wiki.drizzle.org/
google/gsoc2013/esug,ESUG (European Smalltalk User Group),esug,"smalltalk, vm, ui, web, html5, math, visualization, industrial, git, debugging, tools",http://gsoc2013.esug.org/projects
google/gsoc2013/evergreen,Evergreen,evergreen,"Perl, JavaScript, C, Java, XML, XMPP, PostgreSQL, Dojo, testing",http://evergreen-ils.org/dokuwiki/doku.php?id=dev:summer_of_coding_ideas
google/gsoc2013/freebsd,FreeBSD,freebsd,"virtualization, hypervisor, os, operating system, bsd, web, compilers, qa, perl, shell_scripting, shell scripting, server, embedded, mips, arm, sparc, sparc64, i386, amd, amd64, x86_64, distribution, c, operating_system, database, pcbsd, freebsd, c++, sh, security, clang, llvm, audit, wireless, wifi, wi-fi, desktop, server, sandbox, kernel, ",https://wiki.freebsd.org/IdeasPage
google/gsoc2013/freenet,Freenet Project Inc,freenet,"anonymity, peer-to-peer, friend-to-friend, darknet, security, privacy, encryption",https://wiki.freenetproject.org/Google_Summer_of_Code/2013
google/gsoc2013/funf,Funf.org,funf,"mobile, sensing, signals, sensors, smartphone, Android, Java, Python, research",https://docs.google.com/document/d/1oZAipiVZlxyYOVIThKY6jT03z41uLR-LMV_9_FIH3RI
google/gsoc2013/ganeti,Ganeti,ganeti,"Ganeti, Haskell, Python, Xen, Kvm, Virtualization, Cloud, Cluster",http://code.google.com/p/ganeti/wiki/SummerOfCode2013Ideas
